Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson,TestType
Current date future date,DOMESTIC,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,CurrDate should be changed accordingly.,30.0,830.0|128.0,45014.0|9496.0,1820.0|280.0,,,1451.54,58061.54,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,674.0|8.0,4.0,4.0,8.0,104.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,41114.0|112.0,80.0,112.0,352.0,8840.0",,,,,FIELD_VALIDATION
Without both dates,DOMESTIC,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,DOMESTIC,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,DOMESTIC,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,DOMESTIC,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,DOMESTIC,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,830.0|128.0,45014.0|9496.0,1820.0|280.0,1000.0,,1451.54,58061.54,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,674.0|8.0,4.0,4.0,8.0,104.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,41114.0|112.0,80.0,112.0,352.0,8840.0",,,,,FIELD_VALIDATION
Normal (General Purpose),GP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,32572,1600,,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Units 0.0,GP_1,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,500.0,,,12.82,512.82,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,GP_1,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,32572,1600,,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Previous Reading with text,GP_1,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,GP_1,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,GP_1,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,GP_1,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GP_1,,,1.8.0_0,Active,10,1000050,2026-03-06,2026-04-05,200,,30.0,1000040.0,34001360.0,1600,,,871870.77,34874830.77,>180.0,1000040.0,34,34001360.0,,,,,FIELD_VALIDATION
Without registerValue,GP_1,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,GP_1,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GP_1,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,GP_1,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GP_1,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GP_1,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,GP_1,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,GP_1,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,32572,1600,1000.0,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Normal (Hotel),H_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,16286,800.0,,,438.1,17524.1,>300.0,958,17,16286.0,,,,,FIELD_VALIDATION
Units 0.0,H_1,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,300.0,,,7.69,307.69,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,H_1,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,16286,800.0,,,438.1,17524.1,>300.0,958,17,16286.0,,,,,FIELD_VALIDATION
Previous Reading with text,H_1,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,H_1,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,H_1,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,H_1,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",H_1,,,1.8.0_0,Active,10,1000050,2026-01-01,2026-01-31,200,calculate for 999999 units only,30.00,1000040.00,17000680.0,800.0,,,435935.38,17437415.38,>300.0,1000040.0,17,17000680.0,,,,,FIELD_VALIDATION
Without registerValue,H_1,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,H_1,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,H_1,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,H_1,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,H_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,H_1,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,H_1,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,H_1,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,H_1,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,H_1,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,16286,800.0,1000.0,,438.1,17524.1,>300.0,958,17,16286.0,,,,,FIELD_VALIDATION
Normal (Government),GV_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,32572.0,1600.0,,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Units 0.0,GV_1,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,500.0,,,12.82,512.82,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,GV_1,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,32572.0,1600.0,,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Previous Reading with text,GV_1,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,GV_1,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,GV_1,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,GV_1,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GV_1,,,1.8.0_0,Active,10,1000050,2026-01-01,2026-01-31,200,,30.00,1000040.0,34001360.0,1600.0,,,871870.77,34874830.77,>180.0,1000040.0,34,34001360.0,,,,,FIELD_VALIDATION
Without registerValue,GV_1,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,GV_1,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GV_1,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GV_1,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GV_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,GV_1,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GV_1,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GV_1,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,GV_1,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,GV_1,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,32572.0,1600.0,1000.0,,876.21,35048.21,>180.0,958,34,32572.0,,,,,FIELD_VALIDATION
Normal (General Purpose),IP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,16286.0,800.0,,,438.1,17524.1,>300.0,958.0,17,16286.0,,,,,FIELD_VALIDATION
Units 0.0,IP_1,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,300.0,,,7.69,307.69,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,IP_1,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,16286.0,800.0,,,438.1,17524.1,>300.0,958.0,17,16286.0,,,,,FIELD_VALIDATION
Previous Reading with text,IP_1,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,IP_1,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,IP_1,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,IP_1,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",IP_1,,,1.8.0_0,Active,10,1000050,2026-01-01,2026-01-31,200,,30.00,1000040.00,17000680.0,800.0,,,435935.38,17437415.38,>300.0,1000040.0,17,17000680.0,,,,,FIELD_VALIDATION
Without registerValue,IP_1,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,IP_1,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,IP_1,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,IP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,IP_1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,IP_1,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,IP_1,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,IP_1,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,IP_1,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,IP_1,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,16286.0,800.0,1000.0,,438.1,17524.1,>300.0,958.0,17,16286.0,,,,,FIELD_VALIDATION
Normal (Street Light 1),STL1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Units 0.0,STL1,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,50,0.0,,,,,FIELD_VALIDATION
With genTariffCategory,STL1,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Previous Reading with text,STL1,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,STL1,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,STL1,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,STL1,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",STL1,,,1.8.0_0,Active,10,1000050,2026-01-01,2026-01-31,200,,30.0,1000040.0,50002000.0,0,,,1282102.56,51284102.56,1000040.0,1000040.0,50,50002000.0,,,,,FIELD_VALIDATION
Without registerValue,STL1,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,STL1,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,STL1,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,STL1,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,STL1,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,STL1,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,STL1,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,STL1,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,STL1,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,STL1,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,47900.0,0,1000.0,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Normal (Street Light 2),STL2,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Units 0.0,STL2,,,1.8.0_0,Active,1387,1387,2026-01-01,2026-01-31,200,,30.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,50,0.0,,,,,FIELD_VALIDATION
With genTariffCategory,STL2,SE1@1,,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Previous Reading with text,STL2,,,1.8.0_0,Active,test,1000,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,STL2,,,1.8.0_0,Active,1000,test,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,STL2,,,1.8.0_0,Active,2000,1000,2026-01-01,2026-01-31,400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,STL2,,,1.8.0_0,Active,,,2026-01-01,2026-01-31,422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",STL2,,,1.8.0_0,Active,10,1000050,2026-01-01,2026-01-31,200,,30.0,1000040.0,50002000.0,0,,,1282102.56,51284102.56,1000040.0,1000040.0,50,50002000.0,,,,,FIELD_VALIDATION
Without registerValue,STL2,,,,Active,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,STL2,,,1.8.0_0,Inactive,1387,2345,2026-01-01,2026-01-31,500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,STL2,,,1.8.0_0,Active,1387,2345,,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,STL2,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,STL2,,,1.8.0_0,Active,1387,2345,2026-01-01,2026-03-31,400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,STL2,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,STL2,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,STL2,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,STL2,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
With Brought Forward,STL2,,1000,1.8.0_0,Active,1387,2345,2026-01-01,2026-01-31,200,Can send Brought forward,30.0,958.0,47900.0,0,1000.0,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,,FIELD_VALIDATION
Normal (General Purpose Net Metering),GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Units 0.0,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","1387,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,2000,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Export higher than Import,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,5000","9000,10000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,1000,34000,1600,2000,0,912.82,36512.82,>180.0,1000,34,34000,,,,,FIELD_VALIDATION
Import higher than Export,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,10000","2000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11000,12.82,512.82,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,GP_1-NM,SE1@1,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Previous Reading with text,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"test,1000","1000,test","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
