Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson
Without current date,DOMESTIC,,,1.8.0_0,Active,1387,2345,2026-01-01,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,
Without both dates,DOMESTIC,,,1.8.0_0,Active,1387,2345,,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,
previous date larger than current date,DOMESTIC,,,1.8.0_0,Active,1387,2345,2027-01-01,2026-01-31,400,Invalid dates,,,,,,,,,,,,,,,,
invalid date format,DOMESTIC,,,1.8.0_0,Active,1387,2345,2025-15-10,2026-01-31,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,
Date Format Validation,DOMESTIC,,,1.8.0_0,Active,1387,2345,01-01-2026,31-01-2026,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,
One Year New,DOMESTIC,,,1.8.0_0,Active,1387,2345,2025-01-01,2026-01-01,200,Successful without Brought Forward,365,45.0|381.0|577.0,708.0|4464.0|8340.0,"226.67,1933.33,2706.67",,,471.25,18849.92,"""0-34.0,34.0-51.0|0-290.0,290.0-435.0|0-406.0,406.0-609.0""","""34.0,11.0|290.0,91.0|406.0,171.0""","""15,18|11,14|12.75,18.5""","""510.0,198.0|3190.0,1274.0|5176.5,3163.5""",,,,
With Brought Forward,DOMESTIC,,1000,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,Can send Brought forward,30.0,830.0|128.0,45014.0|9496.0,1820.0|280.0,1000.0,,1451.54,58061.54,"0-52.0,52.0-78.0,78.0-104.0,104.0-156.0,>156.0|0-8.0,8.0-12.0,12.0-16.0,16.0-24.0,>24.0","52.0,26.0,26.0,52.0,674.0|8.0,4.0,4.0,8.0,104.0","12.75,18.5,24,41,61|14,20,28,44,85","663.0,481.0,624.0,2132.0,41114.0|112.0,80.0,112.0,352.0,8840.0",,,,
Normal (General Purpose),GP_1,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,32572,1600,,,876.21,35048.21,>180.0,958,34,32572.0,,,,"{
  ""bill"": {
    ""noOfDays"": 30,
    ""tariffCode"": ""GP_1"",
    ""isNetplusConsumer"": false,
    ""broughtForwards"": [],
    ""carryForwards"": [],
    ""billBreakDown"": {
      ""consumption"": [
        {
          ""type"": ""ActivePower"",
          ""meterSerial"": ""14400006"",
          ""previousReading"": 1387,
          ""previousReadingDate"": ""2026-03-06"",
          ""currentReadingDate"": ""2026-04-05"",
          ""currentReading"": 2345,
          ""isMeterTurnOver"": false,
          ""units"": 830,
          ""adjUnits"": 0,
          ""amount"": 28220,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-01"",
          ""slabs"": [
            {
              ""slab"": "">156.0"",
              ""units"": 830,
              ""rate"": 34,
              ""amount"": 28220
            }
          ]
        },
        {
          ""type"": ""ActivePower"",
          ""meterSerial"": ""14400006"",
          ""previousReading"": 1387,
          ""previousReadingDate"": ""2026-03-06"",
          ""currentReadingDate"": ""2026-04-05"",
          ""currentReading"": 2345,
          ""isMeterTurnOver"": false,
          ""units"": 128,
          ""adjUnits"": 0,
          ""amount"": 4608,
          ""from"": ""2026-04-01"",
          ""to"": ""2026-04-05"",
          ""slabs"": [
            {
              ""slab"": "">24.0"",
              ""units"": 128,
              ""rate"": 36,
              ""amount"": 4608
            }
          ]
        }
      ],
      ""generation"": [],
      ""fixedCharges"": [
        {
          ""type"": ""ServiceCharge"",
          ""amount"": 1386.67,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-01""
        },
        {
          ""type"": ""ServiceCharge"",
          ""amount"": 213.33,
          ""from"": ""2026-04-01"",
          ""to"": ""2026-04-05""
        }
      ],
      ""taxes"": [
        {
          ""type"": ""SSCL"",
          ""amount"": 882.77,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-05""
        }
      ],
      ""thisBillAmount"": 35310.77
    }
  }
}"
Normal (Hotel),H_1,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,16286,800.0,,,438.1,17524.1,>300.0,958,17,16286.0,,,,"{
  ""bill"": {
    ""noOfDays"": 30,
    ""tariffCode"": ""H_1"",
    ""isNetplusConsumer"": false,
    ""broughtForwards"": [],
    ""carryForwards"": [],
    ""billBreakDown"": {
      ""consumption"": [
        {
          ""type"": ""ActivePower"",
          ""meterSerial"": ""14400006"",
          ""previousReading"": 1387,
          ""previousReadingDate"": ""2026-03-06"",
          ""currentReadingDate"": ""2026-04-05"",
          ""currentReading"": 2345,
          ""isMeterTurnOver"": false,
          ""units"": 830,
          ""adjUnits"": 0,
          ""amount"": 14110,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-01"",
          ""slabs"": [
            {
              ""slab"": "">260.0"",
              ""units"": 830,
              ""rate"": 17,
              ""amount"": 14110
            }
          ]
        },
        {
          ""type"": ""ActivePower"",
          ""meterSerial"": ""14400006"",
          ""previousReading"": 1387,
          ""previousReadingDate"": ""2026-03-06"",
          ""currentReadingDate"": ""2026-04-05"",
          ""currentReading"": 2345,
          ""isMeterTurnOver"": false,
          ""units"": 128,
          ""adjUnits"": 0,
          ""amount"": 2304,
          ""from"": ""2026-04-01"",
          ""to"": ""2026-04-05"",
          ""slabs"": [
            {
              ""slab"": "">40.0"",
              ""units"": 128,
              ""rate"": 18,
              ""amount"": 2304
            }
          ]
        }
      ],
      ""generation"": [],
      ""fixedCharges"": [
        {
          ""type"": ""ServiceCharge"",
          ""amount"": 693.33,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-01""
        },
        {
          ""type"": ""ServiceCharge"",
          ""amount"": 106.67,
          ""from"": ""2026-04-01"",
          ""to"": ""2026-04-05""
        }
      ],
      ""taxes"": [
        {
          ""type"": ""SSCL"",
          ""amount"": 441.38,
          ""from"": ""2026-03-06"",
          ""to"": ""2026-04-05""
        }
      ],
      ""thisBillAmount"": 17655.38
    }
  }
}
"
Normal (Government),GV_1,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,32572.0,1600.0,,,876.21,35048.21,>180.0,958,34,32572.0,,,,
Normal,IP_1,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,16286.0,800.0,,,438.1,17524.1,>300.0,958.0,17,16286.0,,,,
Normal (Street Light 1),STL1,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,
Normal (Street Light 2),STL2,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,47900.0,0,,,1228.21,49128.21,958.0,958.0,50,47900.0,,,,
Normal (General Purpose Net Metering),GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,
Normal (General Purpose Net Metering),H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,300,2000,11042,7.69,307.69,,,,,,,,
Normal (General Purpose Net Metering),GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,
Normal (General Purpose Net Metering),IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,300.0,2000,11042,7.69,307.69,,,,,,,,
Normal (General Purpose Net Metering),RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,75.0,2000,11042,1.92,76.92,,,,,,,,
Normal (Religious Net Accounting),RELIGIOUS-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,75,,,1.92,76.92,,,,,9042.0,34.5,311949.0,
Normal (General Purpose Net Accounting),GP_1-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,500.0,,,12.82,512.82,,,,,9042.0,34.5,311949.0,
Normal (General Purpose Net Plus),GP_1-NP,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,958.0,32572.0,1600.0,,,876.21,35048.21,>180.0,958.0,34,32572.0,10000.0,34.5,345000.0,
Normal (Hotel Net Accounting),H_1-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,300.0,,,7.69,307.69,,,,,9042.0,34.5,311949.0,
Normal (Hotel Net Plus),H_1-NP,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,958.0,16286.0,800.0,,,438.1,17524.1,>300.0,958.0,17,16286.0,10000.0,34.5,345000.0,
Normal (Government Net Accounting),GV_1-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,500.0,,,12.82,512.82,,,,,9042.0,34.5,311949.0,
Normal (Government Net Plus),GV_1-NP,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,958.0,32572.0,1600.0,,,876.21,35048.21,>180.0,958.0,34,32572.0,10000.0,34.5,345000.0,
Normal (Industrial Net Accounting),IP_1-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,300.0,,,7.69,307.69,,,,,9042.0,34.5,311949.0,
Normal (Industrial Net Plus),IP_1-NP,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,958.0,16286.0,800.0,,,438.1,17524.1,>300.0,958.0,17,16286.0,10000.0,34.5,345000.0,
Normal (Domestic TOU - Net Metering),DOMESTIC_TOU-NM,,,"1.8.1_0,1.8.2_0,1.8.3_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,100,200,300,0","2000,3500,400,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0,0.0|100500.0|4200.0,2100.0,,,2738.46,109538.46,,,,,4800.0,0,0,
Normal (Domestic TOU - Net Plus),DOMESTIC_TOU-NP,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,100,200,300,0","2000,3500,400,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,1000.0|1500.0|200.0,35000.0|100500.0|4200.0,2100.0,,,3635.9,145435.9,,,,,4800.0,34.5,165600.0,
Normal (Domestic TOU - Net Account),DOMESTIC_TOU-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,100,200,300,0","2000,3500,400,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0,0.0|100500.0|4200.0,2100.0,,,2738.46,109538.46,,,,,3800.0,34.5,131100.0,
Normal (Industrial Type 2),IP_2,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,14370.0|280000.0|1200.0|2800000.0,5000.0,,,79501.79,3180071.79,,,,,,,,
Normal (IGeneral Purpose Type 2),GP_2,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,39278.0|470000.0|3100.0|3000000.0,5000.0,,,90189.18,3607567.18,,,,,,,,
Normal (Hotel Type 2),H_2,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,14370.0|280000.0|1200.0|2800000.0,5000.0,,,79501.79,3180071.79,,,,,,,,
Normal (Government Type 2),GV_2,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,39278.0|470000.0|3100.0|3000000.0,5000.0,,,90189.18,3607567.18,,,,,,,,
Normal (Industrial Type 3),IP_3,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,13412.0|270000.0|1100.0|2700000.0,5000.0,,,76654.15,3066166.15,,,,,,,,
Normal (General Purpose Type 3),GP_3,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,37841.0|460000.0|3000.0|2900000.0,5000.0,,,87329.26,3493170.26,,,,,,,,
Normal (Hotel Type 3),H_3,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,13412.0|270000.0|1100.0|2700000.0,5000.0,,,76654.15,3066166.15,,,,,,,,
Normal (Government Type 3),GV_3,,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0",Active,"1387,20000,200,0","2345,30000,300,2000","2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0|2000.0,37841.0|460000.0|3000.0|2900000.0,5000.0,,,87329.26,3493170.26,,,,,,,,
Normal (Industrial Type 3 - Net Metering),IP_3-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|40500.0|2200.0|2700000.0,5000.0,2000.0,5800.0,70453.85,2818153.85,,,,,,,,
Normal (Government Type 3 - Net Metering),GV_3-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,2000.0,5800.0,76410.26,3056410.26,,,,,,,,
Normal (Industrial Type 2 - Net Metering),IP_2-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,2000.0,5800.0,73061.54,2922461.54,,,,,,,,
Normal (General Purpose Type 2 - Net Metering),GP_2-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|70500.0|6200.0|3000000.0,5000.0,2000.0,5800.0,79017.95,3160717.95,,,,,,,,
Normal (Hotel Type 2 - Net Metering),H_2-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,2000.0,5800.0,73061.54,2922461.54,,,,,,,,
Normal (Government Type 2 - Net Metering),GV_2-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|70500.0|6200.0|3000000.0,5000.0,2000.0,5800.0,79017.95,3160717.95,,,,,,,,
Normal (General PurposeType 3 - Net Metering),GP_3-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|69000.0|6000.0|2900000.0,5000.0,2000.0,5800.0,76410.26,3056410.26,,,,,,,,
Normal (Hotel Type 3 - Net Metering),H_3-NM,,2000,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|40500.0|2200.0|2700000.0,5000.0,2000.0,5800.0,70453.85,2818153.85,,,,,,,,
Normal (Domestic TOU),DOMESTIC_TOU,,,"1.8.1_0,1.8.2_0,1.8.3_0",Active,"1387,20000,200","2345,30000,300","2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0,33530.0|670000.0|2100.0,2100.0,,,18146.92,725876.92,,,,,,,,
Normal (Domestic Time of Use (TOU)),DCFC,,,"1.8.1_0,1.8.2_0,1.8.3_0",Active,"1387,20000,200","2345,30000,300","2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05",200,,30.0,958.0|10000.0|100.0,83346.0|1110000.0|5300.0,0.0,,,30734.51,1229380.51,,,,,,,,
Normal (Net Plus Extra),NET-PLUS,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0.0,0,,,,,0,,,,,9042.0,34.5,311949.0,
Normal (General Purpose Net Accounting),DOMESTIC-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,80.0,,,2.05,82.05,,,,,9042.0,34.5,311949.0,
Normal (General Purpose Net Accounting),DOMESTIC-NP,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,958.0,51958.0,2100.0,,,1386.1,55444.1,0-60.0|60.0-90.0|90.0-120.0|120.0-180.0|>180.0,60.0|30.0|30.0|60.0|778.0,12.75|18.5|24|41|61,765.0|555.0|720.0|2460.0|47458.0,10000.0,34.5,345000.0,
Normal (General Purpose Net Metering),DOMESTIC-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-03-06,2026-03-06","2026-04-05,2026-04-05",200,,30.0,0,0,80.0,2000,11042,2.05,82.05,,,,,,,,
Normal (DOMESTIC),RELIGIOUS,,,1.8.0_0,Active,1387,2345,2026-03-06,2026-04-05,200,,30.0,958.0,22013.0,1700.0,,,608.03,24321.03,"""0-30.0|30.0-90.0|90.0-120.0|120.0-180.0|>180.0""",30.0|60.0|30.0|60.0|778.0,4.5|4.5|8|19|26,135.0|270.0|240.0|1140.0|20228.0,,,,
Normal (Industrial Type 3 - Net Metering),H_2-NA,SE3.1@1,,"1.8.1_0,1.8.2_0,1.8.3_0,9.6.0_0,2.8.1_0,2.8.2_0,2.8.3_0,2.8.0_0",Active,"1000,2000,200,0,100,200,300,0","2000,3500,400,2000,500,750,3000,4800","2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06","2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05",200,,30.0,0.0|1500.0|200.0|2000.0,0.0|42000.0|2400.0|2800000.0,5000.0,,,73061.54,2922461.54,,,,,3800.0,34.5,131100.0,
